groupId	movieId	rating
1	1580	4
1	3415	4
1	653	3
1	2646	3
1	3810	3
1	2780	3
1	3147	4
1	597	4
1	687	4
1	789	4
1	793	3
1	1584	4
1	3651	3
1	958	4
1	1228	4
2	2963	4
2	3916	4
2	2894	3
2	3521	4
2	2656	3
2	2859	4
2	2035	3
2	1926	3
2	1441	3
2	1851	4
2	2285	4
2	1845	4
2	1378	4
2	3160	4
2	3567	4
3	3651	3
3	3699	4
3	236	3
3	3657	4
3	2573	4
3	1648	4
3	1357	4
3	2391	4
3	1167	3
3	3352	4
3	2553	3
3	2459	3
3	2717	3
3	684	4
3	293	4
4	2779	4
4	234	3
4	1955	4
4	3930	3
4	3697	3
4	3442	3
4	614	4
4	1942	4
4	1246	4
4	242	4
4	317	3
4	3213	4
4	757	4
4	1483	3
4	2586	3
5	3069	4
5	1121	3
5	2486	3
5	2389	3
5	311	3
5	2421	3
5	2118	4
5	253	4
5	494	3
5	2665	3
5	761	3
5	3843	2
5	3625	4
5	2306	2
5	3545	4
6	2566	3
6	3147	4
6	644	3
6	307	4
6	1095	4
6	765	3
6	695	3
6	2760	4
6	3453	3
6	287	3
6	874	4
6	679	4
6	3742	4
6	3285	3
6	1471	4
7	2102	3
7	3800	3
7	3603	3
7	1848	3
7	3140	4
7	2732	4
7	3013	3
7	279	4
7	373	4
7	3262	3
7	1591	3
7	1794	4
7	363	4
7	655	3
7	1372	3
8	3053	3
8	2672	3
8	765	3
8	3791	3
8	2440	3
8	598	4
8	1413	3
8	2064	4
8	409	3
8	2218	3
8	2691	3
8	2739	4
8	3089	4
8	3938	2
8	3477	3
9	1061	3
9	1906	3
9	1976	2
9	2050	2
9	1272	4
9	3132	3
9	2501	4
9	1608	3
9	3720	4
9	3343	2
9	1376	3
9	2788	4
9	3288	3
9	2008	3
9	3725	3
10	1952	4
10	2444	4
10	2410	3
10	3672	3
10	3044	4
10	2666	3
10	259	3
10	435	3
10	3389	3
10	311	3
10	1008	3
10	225	3
10	3915	4
10	3301	3
10	1582	3
11	2188	3
11	247	4
11	2132	4
11	2053	2
11	3698	3
11	1041	4
11	1358	4
11	1119	3
11	2941	3
11	3408	4
11	1425	3
11	1066	4
11	2536	2
11	763	4
11	1887	2
12	1116	4
12	1572	4
12	1119	4
12	1834	4
12	3865	3
12	653	3
12	2324	4
12	1599	2
12	3503	4
12	3725	3
12	2775	4
12	2781	3
12	1904	4
12	1103	4
12	1295	4
13	1953	4
13	325	2
13	269	3
13	1473	3
13	3033	3
13	553	4
13	1652	4
13	205	4
13	1278	4
13	1604	2
13	1863	2
13	490	3
13	3714	3
13	3469	4
13	1844	4
14	3021	3
14	1527	3
14	1228	4
14	1590	2
14	3423	3
14	3805	3
14	1086	4
14	542	2
14	836	2
14	2733	2
14	2974	2
14	12	2
14	3315	3
14	865	3
14	3640	3
15	3118	4
15	78	4
15	2503	4
15	3606	4
15	3543	4
15	3918	3
15	1994	4
15	104	4
